week_id,date,year,quarter,week_of_year,scenario,net_sales_observed,spend_tv,impr_tv,spend_search,impr_search,spend_social,impr_social,spend_display,impr_display,spend_video,impr_video,promo,covid_index,dgs30,mobility_index,competitor_ishare,baseline_true,exog_effect_true,noise_true,media_contribution_pct_true,stc_tv_true,ltc_tv_true,stc_search_true,ltc_search_true,stc_social_true,ltc_social_true,stc_display_true,ltc_display_true,stc_video_true,ltc_video_true,brand_stock_tv_true,brand_stock_video_true,brand_stock_social_true
29,2020-07-20,2020,3,30,S4,11.4898,1.195704,0.0427,0.185749,0.0636,0.20434,0.0135,0.094905,0.0168,0.578462,0.0277,0.0,0.3882,1.2882,0.7212,0.4062,10.3702,-1.4904,-0.0179,0.2287,0.4354,0.4745,0.3595,0.0245,0.2721,0.192,0.1143,0.0626,0.2438,0.4491,5.8648,3.0043,0.9916
30,2020-07-27,2020,3,31,S4,11.3731,1.247052,0.0477,0.174405,0.0515,0.184209,0.0122,0.099903,0.0183,0.497843,0.0288,0.0,0.4118,1.3394,0.6711,0.3833,10.2557,-1.5616,0.0718,0.2292,0.4763,0.4812,0.3076,0.0238,0.2402,0.1865,0.1148,0.0627,0.2608,0.4533,5.9483,3.0318,0.9634
31,2020-08-03,2020,3,32,S4,11.7539,0.96214,0.0368,0.181351,0.0557,0.176546,0.0124,0.08656,0.0162,0.477062,0.0228,0.0,0.2684,1.3495,0.7779,0.3991,10.4395,-1.1359,-0.0975,0.2168,0.4446,0.4807,0.3167,0.024,0.2276,0.1814,0.1085,0.0612,0.2473,0.4557,5.942,3.0479,0.937
32,2020-08-10,2020,3,33,S4,11.2426,0.947431,0.0378,0.176405,0.0548,0.188955,0.0132,0.08417,0.0148,0.411117,0.0202,0.0,0.3295,1.2992,0.775,0.4091,9.8715,-1.2333,0.103,0.2225,0.4318,0.4799,0.3143,0.0238,0.2301,0.1782,0.101,0.06,0.2287,0.4537,5.9318,3.0348,0.9205
33,2020-08-17,2020,3,34,S4,12.0045,1.170246,0.0471,0.194109,0.0601,0.214054,0.0139,0.095035,0.0174,0.537403,0.026,0.06,0.3074,1.2818,0.7612,0.4091,10.0666,-0.7297,0.0676,0.2166,0.4709,0.4844,0.3382,0.0245,0.2382,0.1775,0.1055,0.0605,0.2409,0.4595,5.9877,3.0738,0.9167
34,2020-08-24,2020,3,35,S4,11.9775,1.234606,0.046,0.191619,0.0634,0.214968,0.0141,0.088922,0.0164,0.517562,0.0287,0.06,0.3169,1.3943,0.734,0.4266,9.9299,-0.7757,0.1558,0.2227,0.4872,0.4899,0.3582,0.0246,0.2438,0.177,0.1045,0.0601,0.2586,0.4635,6.0556,3.1006,0.914
35,2020-08-31,2020,3,36,S4,12.2543,1.132774,0.0455,0.176928,0.0554,0.19783,0.0145,0.091881,0.0186,0.56094,0.0319,0.06,0.2886,1.3425,0.7924,0.4198,10.1096,-0.6666,0.1284,0.2189,0.4934,0.4926,0.3254,0.024,0.2495,0.1752,0.1111,0.0601,0.282,0.4695,6.0887,3.1405,0.9052
36,2020-09-07,2020,3,37,S4,12.4144,0.817057,0.0341,0.202713,0.0698,0.230198,0.0158,0.106295,0.0219,0.336668,0.0172,0.07,0.3163,1.3289,0.7721,0.3728,10.3002,-0.6558,0.106,0.2146,0.4403,0.4872,0.3848,0.025,0.2652,0.1762,0.1249,0.0618,0.2378,0.4609,6.0221,3.0828,0.9102
37,2020-09-14,2020,3,38,S4,10.6054,0.388381,0.0141,0.167781,0.0493,0.157367,0.0099,0.082421,0.0144,0.146523,0.0077,0.0,0.3214,1.3752,0.7284,0.4248,9.5719,-1.221,-0.0177,0.2142,0.3119,0.4687,0.3028,0.0237,0.2153,0.1714,0.1079,0.0602,0.1734,0.437,5.7938,2.9234,0.8852
38,2020-09-21,2020,3,39,S4,10.4495,0.399774,0.0157,0.165656,0.055,0.142611,0.0107,0.081279,0.0152,0.149751,0.0079,0.0,0.3047,1.4364,0.7761,0.3787,9.3849,-1.0962,0.0441,0.2026,0.2492,0.4525,0.3123,0.0232,0.2004,0.1661,0.102,0.0589,0.1355,0.4164,5.5938,2.7854,0.858
39,2020-09-28,2020,3,40,S4,10.4444,0.394463,0.0155,0.149492,0.0502,0.151522,0.0097,0.086198,0.0168,0.148344,0.0073,0.0,0.3047,1.266,0.7862,0.4083,9.3735,-1.104,0.1914,0.1899,0.2138,0.4378,0.2923,0.0222,0.1836,0.1626,0.104,0.0588,0.1103,0.3981,5.4113,2.663,0.8398
40,2020-10-05,2020,4,41,S4,10.2136,0.863139,0.0336,0.162697,0.0506,0.140107,0.0103,0.087019,0.0164,0.459086,0.0239,0.0,0.4554,1.3252,0.6659,0.3867,9.8352,-1.6108,-0.1174,0.2062,0.2841,0.4391,0.29,0.0226,0.1821,0.1587,0.1039,0.0587,0.1612,0.4061,5.4276,2.7161,0.8197
41,2020-10-12,2020,4,42,S4,10.8047,0.94085,0.034,0.162627,0.0513,0.147454,0.0101,0.088622,0.0187,0.470023,0.0261,0.0414,0.4327,1.3539,0.6881,0.3749,9.9309,-1.2163,-0.1131,0.2039,0.3252,0.4423,0.2931,0.0227,0.1796,0.1561,0.111,0.0589,0.2006,0.4137,5.4668,2.7672,0.8065
42,2020-10-19,2020,4,43,S4,10.6499,0.879104,0.0352,0.154836,0.0511,0.15793,0.011,0.086095,0.0156,0.453861,0.0248,0.0,0.447,1.4731,0.6366,0.3447,9.9715,-1.6105,0.0327,0.2119,0.3533,0.4435,0.2926,0.0224,0.1875,0.155,0.1048,0.0587,0.2191,0.4195,5.4827,2.8057,0.8004
43,2020-10-26,2020,4,44,S4,10.5972,0.867266,0.0319,0.157953,0.0502,0.1489,0.0114,0.092059,0.0189,0.41355,0.024,0.0,0.4469,1.4141,0.6714,0.375,9.8235,-1.5769,0.0748,0.2148,0.3525,0.4444,0.2886,0.0224,0.1945,0.1532,0.112,0.0593,0.2269,0.422,5.4932,2.8227,0.7914
44,2020-11-02,2020,4,45,S4,11.0079,0.855397,0.0305,0.16652,0.0587,0.150652,0.0096,0.083634,0.0153,0.429989,0.0247,0.0567,0.4577,1.4584,0.6507,0.3447,10.044,-1.1824,-0.1483,0.2085,0.3452,0.4449,0.3265,0.0228,0.1806,0.1519,0.1043,0.0587,0.2344,0.4253,5.4988,2.8446,0.7848
45,2020-11-09,2020,4,46,S4,11.0564,0.901191,0.034,0.17615,0.0562,0.169966,0.0119,0.088314,0.0171,0.474481,0.0276,0.0456,0.47,1.363,0.6378,0.3926,10.0685,-1.3448,-0.0135,0.2122,0.3584,0.4464,0.3225,0.0234,0.1964,0.1525,0.1061,0.0588,0.2505,0.4309,5.5185,2.8821,0.7878
46,2020-11-16,2020,4,47,S4,10.8743,0.883354,0.035,0.164239,0.057,0.16366,0.0105,0.092833,0.019,0.416703,0.0213,0.0,0.4288,1.364,0.6958,0.4009,10.1172,-1.5742,-0.0169,0.2159,0.3705,0.4474,0.3256,0.023,0.1894,0.1525,0.113,0.0594,0.235,0.4323,5.5306,2.8913,0.7876
47,2020-11-23,2020,4,48,S4,14.7789,2.46512,0.092,0.30561,0.1079,0.481717,0.0352,0.1401,0.0303,1.146546,0.0599,0.18,0.4475,1.4424,0.694,0.3518,11.9496,-0.1609,-0.3988,0.2293,0.6601,0.4789,0.5593,0.0287,0.4252,0.1721,0.1522,0.0647,0.3795,0.4684,5.9196,3.1333,0.8888
48,2020-11-30,2020,4,49,S4,14.9455,2.136373,0.0847,0.272742,0.0986,0.463648,0.0303,0.122684,0.0227,1.108597,0.0601,0.18,0.4796,1.4229,0.6762,0.3709,11.5334,-0.2776,-0.0395,0.2495,0.783,0.502,0.5636,0.0292,0.4842,0.1872,0.1477,0.0664,0.467,0.4988,6.2046,3.3364,0.9671
49,2020-12-07,2020,4,50,S4,11.5517,0.454011,0.0182,0.185249,0.0641,0.178053,0.0116,0.093585,0.0197,0.179935,0.0101,0.0,0.4351,1.4674,0.6999,0.3475,10.2034,-1.5676,-0.0283,0.2549,0.521,0.4845,0.4064,0.0258,0.3296,0.1821,0.1362,0.0645,0.3205,0.4738,5.9884,3.1693,0.9407
50,2020-12-14,2020,4,51,S4,11.0325,0.45985,0.0181,0.178172,0.0618,0.187494,0.0131,0.086463,0.0188,0.162778,0.0087,0.0,0.4336,1.4306,0.6726,0.3464,10.0721,-1.5649,-0.0289,0.2315,0.3764,0.4689,0.3641,0.0244,0.2749,0.1787,0.1275,0.0624,0.2267,0.4501,5.7964,3.0109,0.9229
51,2020-12-21,2020,4,52,S4,15.3441,2.312637,0.0953,0.317853,0.1097,0.518909,0.0391,0.134553,0.0254,1.033664,0.0537,0.15,0.454,1.4539,0.6665,0.3715,12.0856,-0.5134,0.2549,0.2292,0.6798,0.4959,0.5754,0.0296,0.5016,0.1953,0.1441,0.0661,0.3496,0.4797,6.1292,3.2088,1.0089
52,2020-12-28,2020,4,53,S4,12.0419,0.431564,0.0187,0.185457,0.0664,0.204103,0.014,0.087322,0.0179,0.159841,0.0082,0.15,0.4669,1.4479,0.6652,0.3522,9.8703,-0.4406,-0.2188,0.2351,0.4665,0.4782,0.419,0.0259,0.361,0.1908,0.1287,0.0635,0.2425,0.455,5.9105,3.0436,0.9854
53,2021-01-04,2021,1,1,S4,11.6466,1.64907,0.0671,0.247366,0.0893,0.324565,0.023,0.115313,0.0236,0.763541,0.042,0.0,0.5002,1.5789,0.6273,0.3848,10.4915,-1.8671,-0.1484,0.2722,0.5894,0.4927,0.493,0.0274,0.3842,0.195,0.1389,0.0649,0.3127,0.4723,6.0899,3.159,1.0075
54,2021-01-11,2021,1,2,S4,10.4461,0.972428,0.0422,0.186277,0.0624,0.23065,0.0152,0.092222,0.0195,0.407279,0.0213,0.0,0.5266,1.5804,0.6077,0.3373,9.8374,-1.8029,-0.4702,0.2759,0.5336,0.4913,0.3846,0.0253,0.3196,0.1925,0.1311,0.0634,0.2726,0.4681,6.0726,3.1309,0.9942
55,2021-01-18,2021,1,3,S4,10.8165,0.919757,0.0377,0.190325,0.0698,0.221395,0.0161,0.100089,0.0188,0.416528,0.0233,0.0,0.5171,1.459,0.6286,0.364,9.9051,-1.7912,-0.0866,0.2579,0.4806,0.4887,0.3964,0.0248,0.2996,0.1897,0.125,0.0632,0.2561,0.465,6.0408,3.1102,0.9799
56,2021-01-25,2021,1,4,S4,11.0657,0.973591,0.0389,0.197552,0.0653,0.251878,0.0191,0.091949,0.0194,0.456408,0.0258,0.0,0.5168,1.4276,0.6112,0.3429,10.222,-1.8491,-0.0712,0.2498,0.4574,0.4877,0.3783,0.025,0.319,0.1896,0.1237,0.0622,0.2562,0.4647,6.0287,3.1085,0.9792
57,2021-02-01,2021,1,5,S4,11.7399,3.697379,0.1381,0.203398,0.0642,0.24232,0.0189,0.105075,0.0226,1.368098,0.0719,0.0,0.5111,1.6301,0.6021,0.3539,10.1457,-1.8347,-0.0918,0.2999,0.9368,0.5323,0.3698,0.0253,0.3264,0.1888,0.1334,0.063,0.4397,0.5051,6.5796,3.3788,0.9752
58,2021-02-08,2021,1,6,S4,12.9378,3.700727,0.1661,0.187658,0.0662,0.257787,0.018,0.107275,0.0227,1.49548,0.0866,0.0,0.5466,1.6394,0.5818,0.3262,10.5622,-2.0033,0.1994,0.3231,1.3392,0.5724,0.3773,0.0247,0.3211,0.1892,0.1385,0.0637,0.6083,0.5451,7.0758,3.6459,0.9774
59,2021-02-15,2021,1,7,S4,12.7144,0.916095,0.0366,0.20214,0.0651,0.261655,0.0174,0.094973,0.0206,0.440195,0.0255,0.05,0.4959,1.529,0.6408,0.3313,10.3533,-1.3727,0.1549,0.2815,0.9179,0.5617,0.3734,0.0252,0.313,0.1898,0.1344,0.0629,0.4666,0.5342,6.9425,3.5733,0.9805
60,2021-02-22,2021,1,8,S4,12.9126,0.876379,0.0362,0.206227,0.0785,0.288684,0.0233,0.096118,0.0205,0.4881,0.0289,0.058,0.4599,1.487,0.6551,0.3272,10.7763,-1.2483,0.014,0.261,0.6846,0.5509,0.4342,0.0255,0.3663,0.1921,0.1319,0.0625,0.3951,0.5276,6.81,3.5288,0.9921
61,2021-03-01,2021,1,9,S4,12.686,0.856317,0.039,0.220011,0.0845,0.279606,0.0196,0.096148,0.0216,0.477311,0.0272,0.0352,0.3321,1.625,0.7577,0.31,10.5075,-0.9757,-0.0667,0.2539,0.5699,0.5408,0.4741,0.0262,0.3542,0.1933,0.1341,0.0622,0.3452,0.5211,6.6842,3.4853,0.9986
62,2021-03-08,2021,1,10,S4,12.7011,0.459979,0.02,0.209823,0.0711,0.282828,0.0192,0.111266,0.0246,0.180624,0.0103,0.0,0.2908,1.6665,0.7953,0.3374,10.8328,-1.1844,0.1847,0.2258,0.4126,0.5196,0.4203,0.0259,0.345,0.1946,0.145,0.0636,0.248,0.4935,6.4227,3.3008,1.005
63,2021-03-15,2021,1,11,S4,12.9142,0.748905,0.0336,0.211322,0.0715,0.311252,0.0252,0.101847,0.0214,0.269207,0.015,0.04,0.3022,1.7099,0.7659,0.3346,10.9982,-0.9056,-0.0036,0.2188,0.3934,0.5096,0.4114,0.0259,0.3982,0.1973,0.1402,0.0636,0.2085,0.4769,6.2997,3.1901,1.0193
64,2021-03-22,2021,1,12,S4,13.5087,1.341355,0.0591,0.259478,0.0869,0.374901,0.0302,0.117781,0.0227,0.479448,0.028,0.04,0.3262,1.6458,0.7705,0.331,11.5422,-1.0131,-0.1473,0.2315,0.5093,0.5149,0.4803,0.0279,0.4705,0.2033,0.142,0.0652,0.2367,0.4766,6.3646,3.1881,1.0502
65,2021-03-29,2021,1,13,S4,13.7705,1.381822,0.0603,0.240799,0.0947,0.356016,0.0255,0.115992,0.0265,0.499565,0.0306,0.04,0.268,1.6014,0.8066,0.3476,11.6236,-0.8289,-0.3089,0.2385,0.5791,0.5205,0.5298,0.0277,0.4581,0.2071,0.1547,0.0661,0.264,0.4775,6.4335,3.1943,1.07
66,2021-04-05,2021,2,14,S4,13.2261,1.452685,0.0619,0.205055,0.0702,0.321889,0.0233,0.113153,0.0251,0.581699,0.0314,0.0,0.275,1.6153,0.7691,0.3436,11.2875,-1.2172,-0.0794,0.2446,0.6256,0.5269,0.4273,0.0262,0.4314,0.2083,0.1566,0.0664,0.2835,0.483,6.5133,3.2304,1.0759
67,2021-04-12,2021,2,15,S4,13.6429,1.004906,0.0418,0.204846,0.0756,0.292529,0.0239,0.10711,0.0207,0.493727,0.0296,0.0385,0.268,1.6606,0.8279,0.3051,11.1206,-0.7591,0.1358,0.2306,0.5516,0.5229,0.4318,0.0257,0.4254,0.2075,0.1438,0.0659,0.288,0.4828,6.4634,3.2293,1.0716
68,2021-04-19,2021,2,16,S4,13.3683,0.894124,0.0417,0.200316,0.0753,0.276615,0.0194,0.107178,0.0209,0.49106,0.0264,0.0,0.2841,1.645,0.7769,0.3181,11.1279,-1.2014,0.4098,0.2268,0.5102,0.5165,0.4311,0.0254,0.3792,0.2058,0.1379,0.0657,0.2779,0.4825,6.3844,3.2272,1.0628
69,2021-04-26,2021,2,17,S4,13.7166,1.281901,0.0579,0.223465,0.087,0.370572,0.0277,0.126801,0.0258,0.681638,0.0423,0.0,0.3088,1.6092,0.7353,0.2964,11.7819,-1.3686,0.0111,0.24,0.5676,0.5198,0.4848,0.0263,0.4384,0.21,0.1503,0.0675,0.3351,0.4925,6.4253,3.294,1.0845
70,2021-05-03,2021,2,18,S4,12.8653,1.001593,0.046,0.210737,0.0698,0.275811,0.0192,0.100836,0.0224,0.496658,0.0287,0.0,0.3105,1.8024,0.7462,0.3077,11.1979,-1.3032,-0.1378,0.2416,0.5402,0.5164,0.4166,0.026,0.3828,0.2078,0.146,0.066,0.3155,0.4913,6.3833,3.2863,1.0731
71,2021-05-10,2021,2,19,S4,12.6282,1.001182,0.0419,0.219192,0.0867,0.274761,0.0193,0.111095,0.0238,0.498335,0.029,0.0,0.3055,1.7893,0.7504,0.2937,10.9959,-1.2532,-0.2133,0.2454,0.5048,0.5133,0.4804,0.0263,0.3584,0.2059,0.1484,0.0661,0.3048,0.4904,6.3453,3.2802,1.0634
72,2021-05-17,2021,2,20,S4,12.9686,1.023815,0.0449,0.216507,0.0738,0.292768,0.0208,0.097455,0.0219,0.444169,0.0245,0.0,0.2717,1.7568,0.7972,0.3368,11.0033,-1.1484,0.0994,0.2324,0.5001,0.5111,0.4342,0.0263,0.3624,0.2055,0.1433,0.0647,0.2804,0.4863,6.3179,3.2531,1.0614
73,2021-05-24,2021,2,21,S4,14.1784,1.564286,0.0657,0.226941,0.0809,0.354084,0.0267,0.117472,0.0269,0.748475,0.0475,0.08,0.2538,1.654,0.8042,0.3105,11.5724,-0.3905,-0.3176,0.2337,0.6007,0.5207,0.4572,0.0267,0.4211,0.2088,0.1566,0.0659,0.3572,0.4991,6.4365,3.3386,1.0786
74,2021-05-31,2021,2,22,S4,14.8707,1.57796,0.0709,0.247967,0.0869,0.390489,0.0311,0.12539,0.0273,0.71268,0.0388,0.08,0.3011,1.7428,0.7674,0.2979,11.7926,-0.5631,0.0991,0.2382,0.6821,0.5296,0.4896,0.0277,0.4902,0.2136,0.1644,0.0675,0.3688,0.5086,6.5465,3.4023,1.1032
